epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2606.18,0.61238,0.6106,1.0208,0.82288,0.79923,0.86169,0.69945,0.75747,0.75352,1.11437,0.00010808,0.00010808,0.00010808
91,2636.46,0.62947,0.48524,1.04648,0.81341,0.79707,0.84473,0.68023,0.77608,0.79516,1.15812,9.9081e-05,9.9081e-05,9.9081e-05
92,2665.76,0.61737,0.48111,1.0468,0.79874,0.80932,0.85122,0.69158,0.77345,0.77918,1.14134,9.00819e-05,9.00819e-05,9.00819e-05
93,2692.57,0.61199,0.45492,1.04178,0.82011,0.82617,0.8535,0.69819,0.75445,0.77105,1.11275,8.10828e-05,8.10828e-05,8.10828e-05
94,2720.89,0.60165,0.43957,1.0197,0.82477,0.82904,0.86287,0.70112,0.7866,0.75221,1.15446,7.20837e-05,7.20837e-05,7.20837e-05
95,2754.64,0.59678,0.44481,1.03051,0.80202,0.83495,0.86392,0.70404,0.75972,0.75765,1.13339,6.30846e-05,6.30846e-05,6.30846e-05
96,2782.97,0.59566,0.43349,1.01759,0.81885,0.80273,0.86634,0.70346,0.77451,0.77682,1.14154,5.40855e-05,5.40855e-05,5.40855e-05
97,2811.48,0.58643,0.43884,1.02391,0.77847,0.84548,0.86558,0.70503,0.76198,0.79906,1.12806,4.50864e-05,4.50864e-05,4.50864e-05
98,2840.82,0.58664,0.41283,1.02117,0.80702,0.82722,0.86554,0.70284,0.76826,0.75548,1.13671,3.60873e-05,3.60873e-05,3.60873e-05
99,2868.49,0.5909,0.41293,1.01632,0.80495,0.82521,0.86675,0.70656,0.7527,0.76134,1.1219,2.70882e-05,2.70882e-05,2.70882e-05
100,2898.78,0.58309,0.41142,1.01209,0.80299,0.82907,0.86534,0.70464,0.75729,0.77436,1.1313,1.80891e-05,1.80891e-05,1.80891e-05
